Período;Código Capítulo Diagnóstico ICD9CM/ICD10CMPCS;Descrição Capítulo Diagnóstico ICD9CM/ICD10CMPCS;Instituição;Região;Faixa Etária;Género;Internamentos;Dias de Internamento;Ambulatório;Óbitos
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Setúbal, E.P.E;Região de Saúde LVT;[15-25[;F;3;69;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Setúbal, E.P.E;Região de Saúde LVT;[65-120[;M;3;9;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Tâmega e Sousa, E.P.E.;Região de Saúde do Norte;[45-65[;F;7;130;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Tondela-Viseu, E.P.E.;Região de Saúde do Centro;[45-65[;M;4;108;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;Região de Saúde LVT;[45-65[;F;17;351;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;Região de Saúde LVT;[5-15[;F;2;39;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;Região de Saúde LVT;[65-120[;F;4;192;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Universitário de S. João, E.P.E.;Região de Saúde do Norte;[45-65[;M;10;91;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Universitário de S. João, E.P.E.;Região de Saúde do Norte;[5-15[;F;1;4;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Universitário de S. João, E.P.E.;Região de Saúde do Norte;[65-120[;F;8;116;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Universitário de S. João, E.P.E.;Região de Saúde do Norte;[65-120[;M;2;32;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Universitário do Algarve, E.P.E.;Região de Saúde do Algarve;[25-45[;M;5;56;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Universitário do Algarve, E.P.E.;Região de Saúde do Algarve;[45-65[;F;6;199;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Universitário do Algarve, E.P.E.;Região de Saúde do Algarve;[45-65[;M;12;178;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Universitário Lisboa Central, E.P.E.;Região de Saúde LVT;[15-25[;F;3;110;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Universitário Lisboa Central, E.P.E.;Região de Saúde LVT;[5-15[;F;4;194;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital Beatriz Ângelo - Loures;Região de Saúde LVT;[25-45[;M;3;144;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital Beatriz Ângelo - Loures;Região de Saúde LVT;[65-120[;M;1;69;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital de Braga, E.P.E.;Região de Saúde do Norte;[45-65[;F;5;77;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital de Santo Espírito da Ilha Terceira, EPER;Região de Saúde dos Açores;[65-120[;F;2;211;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital de Vila Franca de Xira, E.P.E.;Região de Saúde LVT;[15-25[;F;2;13;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital de Vila Franca de Xira, E.P.E.;Região de Saúde LVT;[25-45[;M;9;131;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital de Vila Franca de Xira, E.P.E.;Região de Saúde LVT;[45-65[;M;3;63;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital Distrital de Santarém, E.P.E.;Região de Saúde LVT;[25-45[;F;3;48;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital do Divino Espírito Santo de Ponta Delgada, EPER;Região de Saúde dos Açores;[15-25[;M;1;24;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital do Espírito Santo - Évora, E.P.E.;Região de Saúde do Alentejo;[25-45[;M;1;3;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital do Espírito Santo - Évora, E.P.E.;Região de Saúde do Alentejo;[65-120[;F;3;325;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital Garcia de Orta, E.P.E. - Almada;Região de Saúde LVT;[15-25[;F;2;26;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital Garcia de Orta, E.P.E. - Almada;Região de Saúde LVT;[25-45[;M;10;288;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital Garcia de Orta, E.P.E. - Almada;Região de Saúde LVT;[65-120[;F;6;122;0;1
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital Magalhães de Lemos, E.P.E.;Região de Saúde do Norte;[25-45[;M;24;310;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital Professor Dr. Fernando Fonseca, E.P.E.;Região de Saúde LVT;[25-45[;M;4;65;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital Senhora da Oliveira, E.P.E. - Guimarães;Região de Saúde do Norte;[45-65[;F;12;213;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital Senhora da Oliveira, E.P.E. - Guimarães;Região de Saúde do Norte;[45-65[;M;5;104;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital Senhora da Oliveira, E.P.E. - Guimarães;Região de Saúde do Norte;[5-15[;F;2;3;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;HPP Hospital de Cascais, Dr. José de Almeida;Região de Saúde LVT;[15-25[;F;2;38;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;HPP Hospital de Cascais, Dr. José de Almeida;Região de Saúde LVT;[15-25[;M;1;17;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;HPP Hospital de Cascais, Dr. José de Almeida;Região de Saúde LVT;[25-45[;M;6;62;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Unidade Local de Saúde da Guarda, E.P.E.;Região de Saúde do Centro;[25-45[;F;2;18;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Unidade Local de Saúde da Guarda, E.P.E.;Região de Saúde do Centro;[45-65[;M;4;143;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Unidade Local de Saúde de Castelo Branco, E.P.E.;Região de Saúde do Centro;[45-65[;F;5;79;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Unidade Local de Saúde do Alto Minho, E.P.E.;Região de Saúde do Norte;[25-45[;F;1;8;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Unidade Local de Saúde do Alto Minho, E.P.E.;Região de Saúde do Norte;[65-120[;M;3;78;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;Região de Saúde do Alentejo;[65-120[;F;3;46;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Unidade Local de Saúde do Norte Alentejano E. P. E.;Região de Saúde do Alentejo;[45-65[;F;1;15;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Unidade Local de Saúde do Norte Alentejano E. P. E.;Região de Saúde do Alentejo;[65-120[;F;4;137;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Unidade Local de Saúde Nordeste, E.P.E.;Região de Saúde do Norte;[25-45[;M;6;153;0;0
2021-03;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Barreiro/Montijo, E.P.E.;Região de Saúde LVT;[25-45[;F;3;39;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar do Baixo Vouga, E.P.E.;Região de Saúde do Centro;[45-65[;M;7;98;0;1
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar do Médio Ave, E.P.E.;Região de Saúde do Norte;[65-120[;M;1;8;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar do Médio Tejo, E.P.E.;Região de Saúde LVT;[65-120[;F;1;11;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar e Universitário de Coimbra, E.P.E.;Região de Saúde do Centro;[45-65[;F;11;371;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar e Universitário de Coimbra, E.P.E.;Região de Saúde do Centro;[65-120[;F;5;188;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Povoa do Varzim/Vila do Conde, E.P.E.;Região de Saúde do Norte;[25-45[;M;1;5;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Psiquiátrico de Lisboa;Região de Saúde LVT;[15-25[;F;14;288;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Psiquiátrico de Lisboa;Região de Saúde LVT;[25-45[;F;16;351;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Psiquiátrico de Lisboa;Região de Saúde LVT;[25-45[;M;28;890;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Psiquiátrico de Lisboa;Região de Saúde LVT;[45-65[;M;9;236;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Setúbal, E.P.E;Região de Saúde LVT;[25-45[;F;10;46;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Setúbal, E.P.E;Região de Saúde LVT;[45-65[;F;15;100;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Tondela-Viseu, E.P.E.;Região de Saúde do Centro;[0-1[;M;1;2;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Tondela-Viseu, E.P.E.;Região de Saúde do Centro;[45-65[;F;5;72;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Tondela-Viseu, E.P.E.;Região de Saúde do Centro;[5-15[;F;2;55;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Tondela-Viseu, E.P.E.;Região de Saúde do Centro;[65-120[;F;5;120;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Universitário Cova da Beira, E.P.E.;Região de Saúde do Centro;[25-45[;F;4;40;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Universitário Cova da Beira, E.P.E.;Região de Saúde do Centro;[45-65[;F;5;88;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Universitário Cova da Beira, E.P.E.;Região de Saúde do Centro;[65-120[;M;4;84;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;Região de Saúde LVT;[45-65[;M;12;262;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Universitário de S. João, E.P.E.;Região de Saúde do Norte;[25-45[;F;4;79;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Universitário de S. João, E.P.E.;Região de Saúde do Norte;[25-45[;M;10;176;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Universitário de S. João, E.P.E.;Região de Saúde do Norte;[45-65[;F;14;211;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Universitário do Algarve, E.P.E.;Região de Saúde do Algarve;[1-5[;M;1;6;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Universitário do Porto, E.P.E.;Região de Saúde do Norte;[5-15[;M;1;6;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Universitário Lisboa Central, E.P.E.;Região de Saúde LVT;[15-25[;M;3;32;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Universitário Lisboa Central, E.P.E.;Região de Saúde LVT;[25-45[;F;4;5;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Universitário Lisboa Central, E.P.E.;Região de Saúde LVT;[5-15[;M;1;13;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital de Braga, E.P.E.;Região de Saúde do Norte;[65-120[;M;3;74;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital de Santo Espírito da Ilha Terceira, EPER;Região de Saúde dos Açores;[65-120[;M;1;7;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital de Vila Franca de Xira, E.P.E.;Região de Saúde LVT;[25-45[;M;8;87;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital de Vila Franca de Xira, E.P.E.;Região de Saúde LVT;[5-15[;F;1;2;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital de Vila Franca de Xira, E.P.E.;Região de Saúde LVT;[65-120[;M;1;6;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital Distrital da Figueira da Foz, E.P.E.;Região de Saúde do Centro;[65-120[;F;1;4;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital Distrital de Santarém, E.P.E.;Região de Saúde LVT;[65-120[;F;3;42;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital do Espírito Santo - Évora, E.P.E.;Região de Saúde do Alentejo;[15-25[;M;3;55;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital do Espírito Santo - Évora, E.P.E.;Região de Saúde do Alentejo;[25-45[;M;1;143;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital do Espírito Santo - Évora, E.P.E.;Região de Saúde do Alentejo;[45-65[;M;2;19;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital Garcia de Orta, E.P.E. - Almada;Região de Saúde LVT;[45-65[;M;4;117;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital Magalhães de Lemos, E.P.E.;Região de Saúde do Norte;[45-65[;F;35;451;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital Senhora da Oliveira, E.P.E. - Guimarães;Região de Saúde do Norte;[15-25[;M;1;78;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital Senhora da Oliveira, E.P.E. - Guimarães;Região de Saúde do Norte;[25-45[;M;6;121;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;HPP Hospital de Cascais, Dr. José de Almeida;Região de Saúde LVT;[45-65[;F;5;72;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;HPP Hospital de Cascais, Dr. José de Almeida;Região de Saúde LVT;[45-65[;M;4;68;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Serviço de Saúde da RAM, E.P.E.;Região de Saúde da Madeira;[25-45[;M;1;1;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Unidade Local de Saúde da Guarda, E.P.E.;Região de Saúde do Centro;[15-25[;F;2;21;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Unidade Local de Saúde da Guarda, E.P.E.;Região de Saúde do Centro;[45-65[;F;5;43;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Unidade Local de Saúde da Guarda, E.P.E.;Região de Saúde do Centro;[45-65[;M;3;78;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Unidade Local de Saúde de Matosinhos, E.P.E.;Região de Saúde do Norte;[65-120[;F;3;334;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Unidade Local de Saúde do Baixo Alentejo, E.P.E.;Região de Saúde do Alentejo;[45-65[;F;3;26;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Unidade Local de Saúde do Baixo Alentejo, E.P.E.;Região de Saúde do Alentejo;[65-120[;F;1;21;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Unidade Local de Saúde Nordeste, E.P.E.;Região de Saúde do Norte;[15-25[;F;1;16;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Unidade Local de Saúde Nordeste, E.P.E.;Região de Saúde do Norte;[45-65[;F;1;5;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Unidade Local de Saúde Nordeste, E.P.E.;Região de Saúde do Norte;[45-65[;M;3;35;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar de Tras-os-Montes e Alto Douro, E.P.E.;Região de Saúde do Norte;[45-65[;M;7;131;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar de Vila Nova de Gaia/Espinho, E.P.E.;Região de Saúde do Norte;[25-45[;F;3;70;0;0
2021-04;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar de Vila Nova de Gaia/Espinho, E.P.E.;Região de Saúde do Norte;[25-45[;M;5;153;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Barreiro/Montijo, E.P.E.;Região de Saúde LVT;[15-25[;M;1;3;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Barreiro/Montijo, E.P.E.;Região de Saúde LVT;[25-45[;F;3;26;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Barreiro/Montijo, E.P.E.;Região de Saúde LVT;[25-45[;M;5;122;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Barreiro/Montijo, E.P.E.;Região de Saúde LVT;[65-120[;F;5;77;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;Região de Saúde do Norte;[45-65[;F;1;3;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar de Leiria, E.P.E.;Região de Saúde do Centro;[45-65[;M;4;60;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar de Leiria, E.P.E.;Região de Saúde do Centro;[65-120[;M;4;66;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar de Tras-os-Montes e Alto Douro, E.P.E.;Região de Saúde do Norte;[5-15[;F;1;9;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar de Tras-os-Montes e Alto Douro, E.P.E.;Região de Saúde do Norte;[65-120[;M;4;45;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar de Vila Nova de Gaia/Espinho, E.P.E.;Região de Saúde do Norte;[45-65[;M;5;126;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar de Vila Nova de Gaia/Espinho, E.P.E.;Região de Saúde do Norte;[65-120[;M;3;124;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar do Baixo Vouga, E.P.E.;Região de Saúde do Centro;[15-25[;M;4;70;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar do Médio Ave, E.P.E.;Região de Saúde do Norte;[45-65[;M;1;242;0;1
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar do Médio Tejo, E.P.E.;Região de Saúde LVT;[25-45[;M;4;66;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar do Médio Tejo, E.P.E.;Região de Saúde LVT;[65-120[;M;3;17;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar e Universitário de Coimbra, E.P.E.;Região de Saúde do Centro;[15-25[;F;6;161;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Lisboa Ocidental, E.P.E.;Região de Saúde LVT;[15-25[;F;1;11;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Lisboa Ocidental, E.P.E.;Região de Saúde LVT;[25-45[;F;8;146;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Lisboa Ocidental, E.P.E.;Região de Saúde LVT;[45-65[;M;2;86;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Psiquiátrico de Lisboa;Região de Saúde LVT;[65-120[;M;10;178;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Setúbal, E.P.E;Região de Saúde LVT;[25-45[;M;7;122;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Setúbal, E.P.E;Região de Saúde LVT;[45-65[;M;10;217;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Tâmega e Sousa, E.P.E.;Região de Saúde do Norte;[25-45[;M;11;146;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Tâmega e Sousa, E.P.E.;Região de Saúde do Norte;[45-65[;M;10;268;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Tondela-Viseu, E.P.E.;Região de Saúde do Centro;[15-25[;F;2;29;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Universitário Cova da Beira, E.P.E.;Região de Saúde do Centro;[65-120[;M;2;34;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;Região de Saúde LVT;[25-45[;F;2;40;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;Região de Saúde LVT;[25-45[;M;12;237;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;Região de Saúde LVT;[45-65[;M;11;302;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Universitário de S. João, E.P.E.;Região de Saúde do Norte;[25-45[;F;5;61;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Universitário de S. João, E.P.E.;Região de Saúde do Norte;[25-45[;M;5;83;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Universitário do Algarve, E.P.E.;Região de Saúde do Algarve;[25-45[;M;7;200;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Centro Hospitalar Universitário do Algarve, E.P.E.;Região de Saúde do Algarve;[65-120[;F;3;47;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital Beatriz Ângelo - Loures;Região de Saúde LVT;[15-25[;M;3;87;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital Beatriz Ângelo - Loures;Região de Saúde LVT;[45-65[;M;4;92;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital da Fundação Aurélio Amaro Diniz;Região de Saúde do Centro;[65-120[;M;1;4;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital da Horta, E.P.E.;Região de Saúde dos Açores;[45-65[;F;1;8;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital de Braga, E.P.E.;Região de Saúde do Norte;[65-120[;M;5;100;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital de Vila Franca de Xira, E.P.E.;Região de Saúde LVT;[25-45[;F;3;48;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital de Vila Franca de Xira, E.P.E.;Região de Saúde LVT;[65-120[;F;2;27;0;0
2021-07;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;Hospital do Espírito Santo - Évora, E.P.E.;Região de Saúde do Alentejo;[45-65[;F;3;129;0;0
